"Sex","Race","State","Ethnicity","Age Group","First Year","Last Year","Cause of Death","Year","Deaths","Population","Crude Rate","Age-Adjusted Rate"
"Both Sexes","All Races","United States","Both","All Ages","2008","2016","Homicide Firearm","2008","12179","304093966","4.01","4.02903607858268"
"Both Sexes","All Races","United States","Both","All Ages","2008","2016","Homicide Firearm","2009","11493","306771529","3.75","3.77786360459606"
"Both Sexes","All Races","United States","Both","All Ages","2008","2016","Homicide Firearm","2010","11078","308747508","3.59","3.62124979302417"
"Both Sexes","All Races","United States","Both","All Ages","2008","2016","Homicide Firearm","2011","11068","311663358","3.55","3.59231133758039"
"Both Sexes","All Races","United States","Both","All Ages","2008","2016","Homicide Firearm","2012","11622","313998379","3.7","3.75653297401752"
"Both Sexes","All Races","United States","Both","All Ages","2008","2016","Homicide Firearm","2013","11208","316204908","3.54","3.60279563567852"
"Both Sexes","All Races","United States","Both","All Ages","2008","2016","Homicide Firearm","2014","11008","318563456","3.46","3.528151179391"
"Both Sexes","All Races","United States","Both","All Ages","2008","2016","Homicide Firearm","2015","12979","320896618","4.04","4.14066180260479"
"Both Sexes","All Races","United States","Both","All Ages","2008","2016","Homicide Firearm","2016","14415","323127513","4.46","4.59807464678762"
"Both Sexes","All Races","United States","Both","All Ages","2008","2016","Homicide Firearm","","107050","2824067235","3.79","."
