RowId,Sex,Cause of Death,Year,AllFireArmDeath,Population,AllFireArmDeathRate,Age-Adjusted Rate
Females2000,Females,Firearm,2000,4081,143713786,2.84,2.832594812
Females2001,Females,Firearm,2001,4093,145077463,2.82,2.81339053
Females2002,Females,Firearm,2002,4144,146394634,2.83,2.823430276
Females2003,Females,Firearm,2003,4012,147679036,2.72,2.698521056
Females2004,Females,Firearm,2004,4071,148977286,2.73,2.711858319
Females2005,Females,Firearm,2005,4037,150319521,2.69,2.669187757
Females2006,Females,Firearm,2006,4184,151732647,2.76,2.731364712
Females2007,Females,Firearm,2007,4177,153166353,2.73,2.714455366
Females2008,Females,Firearm,2008,4257,154604015,2.75,2.728454604
Females2009,Females,Firearm,2009,4426,155964075,2.84,2.802034811
Females2010,Females,Firearm,2010,4316,156964282,2.75,2.710587324
Females2011,Females,Firearm,2011,4613,158399998,2.91,2.873580128
Females2012,Females,Firearm,2012,4725,159531199,2.96,2.92456641
Females2013,Females,Firearm,2013,4842,160615344,3.01,2.948617779
Females2014,Females,Firearm,2014,4879,161783394,3.02,2.966436844
Females2015,Females,Firearm,2015,5220,162936583,3.2,3.156216644
Males2000,Males,Firearm,2000,24582,138458150,17.75,18.03657446
Males2001,Males,Firearm,2001,25480,139891492,18.21,18.44206368
Males2002,Males,Firearm,2002,26098,141230559,18.48,18.68452235
Males2003,Males,Firearm,2003,26124,142428897,18.34,18.46615131
Males2004,Males,Firearm,2004,25498,143828012,17.73,17.82469606
Males2005,Males,Firearm,2005,26657,145197078,18.36,18.42169035
Males2006,Males,Firearm,2006,26712,146647265,18.22,18.20263554
Males2007,Males,Firearm,2007,27047,148064854,18.27,18.24925342
Males2008,Males,Firearm,2008,27336,149489951,18.29,18.21980335
Males2009,Males,Firearm,2009,26921,150807454,17.85,17.77650806
Males2010,Males,Firearm,2010,27356,151783226,18.02,17.9016728
Males2011,Males,Firearm,2011,27738,153263360,18.1,17.90999664
Males2012,Males,Firearm,2012,28838,154467180,18.67,18.42112703
Males2013,Males,Firearm,2013,28794,155589564,18.51,18.24822834
Males2014,Males,Firearm,2014,28715,156780062,18.32,17.99876942
Males2015,Males,Firearm,2015,31032,157960035,19.65,19.30137771
Total2000,Total,Firearm,2000,28663,282171936,10.16,.
Total2001,Total,Firearm,2001,29573,284968955,10.38,.
Total2002,Total,Firearm,2002,30242,287625193,10.51,.
Total2003,Total,Firearm,2003,30136,290107933,10.39,.
Total2004,Total,Firearm,2004,29569,292805298,10.1,.
Total2005,Total,Firearm,2005,30694,295516599,10.39,.
Total2006,Total,Firearm,2006,30896,298379912,10.35,.
Total2007,Total,Firearm,2007,31224,301231207,10.37,.
Total2008,Total,Firearm,2008,31593,304093966,10.39,.
Total2009,Total,Firearm,2009,31347,306771529,10.22,.
Total2010,Total,Firearm,2010,31672,308747508,10.26,.
Total2011,Total,Firearm,2011,32351,311663358,10.38,.
Total2012,Total,Firearm,2012,33563,313998379,10.69,.
Total2013,Total,Firearm,2013,33636,316204908,10.64,.
Total2014,Total,Firearm,2014,33594,318563456,10.55,
Total2015,Total,Firearm,2015,36252,320896618,11.3,
