GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Gini Index,Margin of Error; Gini Index
0400000US01,01,Alabama,0.4847,0.0053
0400000US02,02,Alaska,0.4081,0.0106
0400000US04,04,Arizona,0.4713,0.0050
0400000US05,05,Arkansas,0.4719,0.0059
0400000US06,06,California,0.4899,0.0017
0400000US08,08,Colorado,0.4586,0.0042
0400000US09,09,Connecticut,0.4945,0.0052
0400000US10,10,Delaware,0.4522,0.0109
0400000US11,11,District of Columbia,0.5420,0.0121
0400000US12,12,Florida,0.4852,0.0027
0400000US13,13,Georgia,0.4813,0.0039
0400000US15,15,Hawaii,0.4420,0.0072
0400000US16,16,Idaho,0.4503,0.0097
0400000US17,17,Illinois,0.4810,0.0028
0400000US18,18,Indiana,0.4527,0.0043
0400000US19,19,Iowa,0.4451,0.0053
0400000US20,20,Kansas,0.4550,0.0051
0400000US21,21,Kentucky,0.4813,0.0060
0400000US22,22,Louisiana,0.4990,0.0055
0400000US23,23,Maine,0.4519,0.0076
0400000US24,24,Maryland,0.4499,0.0029
0400000US25,25,Massachusetts,0.4786,0.0034
0400000US26,26,Michigan,0.4695,0.0029
0400000US27,27,Minnesota,0.4496,0.0039
0400000US28,28,Mississippi,0.4828,0.0066
0400000US29,29,Missouri,0.4646,0.0047
0400000US30,30,Montana,0.4667,0.0111
0400000US31,31,Nebraska,0.4477,0.0070
0400000US32,32,Nevada,0.4577,0.0069
0400000US33,33,New Hampshire,0.4304,0.0086
0400000US34,34,New Jersey,0.4813,0.0027
0400000US35,35,New Mexico,0.4769,0.0069
0400000US36,36,New York,0.5129,0.0023
0400000US37,37,North Carolina,0.4780,0.0041
0400000US38,38,North Dakota,0.4533,0.0122
0400000US39,39,Ohio,0.4680,0.0034
0400000US40,40,Oklahoma,0.4645,0.0046
0400000US41,41,Oregon,0.4583,0.0050
0400000US42,42,Pennsylvania,0.4689,0.0026
0400000US44,44,Rhode Island,0.4781,0.0097
0400000US45,45,South Carolina,0.4735,0.0050
0400000US46,46,South Dakota,0.4495,0.0121
0400000US47,47,Tennessee,0.4790,0.0040
0400000US48,48,Texas,0.4800,0.0021
0400000US49,49,Utah,0.4263,0.0069
0400000US50,50,Vermont,0.4539,0.0093
0400000US51,51,Virginia,0.4705,0.0034
0400000US53,53,Washington,0.4591,0.0046
0400000US54,54,West Virginia,0.4711,0.0082
0400000US55,55,Wisconsin,0.4498,0.0037
0400000US56,56,Wyoming,0.4360,0.0128
0400000US72,72,Puerto Rico,0.5419,0.0073
